,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
北京市,0.76,6858,7315,307996,35943.3,108.3,110.7,2840.3,164158,101.1,91.6,2189,1916,273,82.49,80.43,84.62,0.13,0.88
天津市,0.38,10684,11246,95568,14008.0,210.3,218.3,1304.1,101068,101.4,99.5,1387,1175,212,81.3,79.32,83.4,0.01,0.85
河北省,1.36,106861,117945,411316,36013.8,3880.4,4113.2,2927.3,48302,103.8,103.2,7464,4484,2980,77.75,75.2,80.52,1.31,0.6
山西省,0.76,97184,104786,221278,17835.6,1166.6,1232.0,1347.0,51051,103.6,106.7,3490,2182,1308,77.91,75.64,80.47,0.89,0.63
内蒙古自治区,0.6,60334,68491,110098,17258.0,2028.8,2060.0,1363.0,71640,100.2,101.7,2403,1622,781,77.56,74.98,80.45,0.24,0.67
辽宁省,0.98,50296,60355,208749,25011.4,2284.8,2370.3,2002.8,58629,100.6,103.2,4255,3070,1185,78.68,75.96,81.54,0.22,0.72
吉林省,0.6,26302,34884,55953,12256.0,1553.0,1600.6,733.5,50561,102.3,101.3,2399,1503,896,78.41,75.62,81.4,1.21,0.63
黑龙江省,0.9,53748,59153,79395,13633.4,3445.1,3534.6,997.0,42432,100.9,102.9,3171,2080,1091,78.25,75.33,81.42,1.33,0.66
上海市,0.76,5200,5482,161888,38963.3,107.7,116.7,4980.6,156803,101.7,92.3,2488,2222,266,82.55,80.39,84.87,0.07,0.89
江苏省,1.5,41935,55010,735916,102807.7,4537.6,4868.5,11210.6,121333,103.7,101.7,8477,6226,2251,79.32,77.02,81.83,0.61,0.73
浙江省,1.96,48515,52432,754359,64689.1,2166.3,2221.4,7597.6,100738,103.6,101.2,6468,4668,1800,80.19,78.09,82.58,5.02,0.72
安徽省,0.98,96705,115230,307510,38061.5,3185.0,3353.7,3538.3,62411,103.7,102.2,6105,3561,2544,77.96,75.52,80.72,1.7,0.58
福建省,1.5,54003,59673,404678,43608.6,2730.8,2831.8,4706.0,105106,103.2,103.1,4161,2861,1300,78.49,75.81,81.55,1.74,0.69
江西省,0.9,77906,86027,201735,25782.0,2243.8,2328.1,2185.8,57065,103.8,102.2,4519,2731,1788,77.64,75.08,80.52,2.29,0.6
山东省,1.8,127605,160524,906404,72798.2,5364.4,5750.1,9810.8,71825,103.5,102.7,10165,6409,3756,79.18,76.46,82.11,0.39,0.63
河南省,1.66,136573,171732,500883,54259.4,5354.0,5600.5,4128.3,54691,101.1,102.3,9941,5510,4431,77.6,74.59,80.84,6.89,0.55
湖北省,1.8,67468,83408,314974,43004.5,4133.2,4359.0,2946.0,73687,94.6,100.0,5745,3613,2132,78.0,75.73,80.53,2.02,0.63
湖南省,1.8,66175,87971,191685,41542.6,4240.7,4462.0,4062.9,62537,103.8,103.7,6645,3905,2740,77.88,75.36,80.75,1.25,0.59
广东省,3.16,40563,48290,1097327,111151.6,4732.7,4880.8,10729.0,88521,102.3,103.7,12624,9361,3263,79.31,76.75,82.22,2.56,0.74
广西壮族自治区,1.96,81140,89695,196525,22120.9,3645.9,3757.3,1829.3,44237,103.7,105.4,5019,2720,2299,78.06,74.64,81.98,2.6,0.54
海南省,0.38,11535,12577,29772,5566.2,1136.0,1178.4,669.8,55438,103.5,102.0,1012,610,402,79.05,75.83,82.84,0.12,0.6
重庆市,0.98,78978,83236,190309,25041.4,1803.5,1837.0,2332.6,78294,103.9,104.6,3209,2229,980,78.56,75.86,81.64,2.35,0.69
四川省,2.56,93708,99709,216758,48501.6,5556.9,5701.2,4299.5,58009,103.8,105.1,8371,4749,3622,77.79,75.01,80.93,6.27,0.57
贵州省,1.2,108209,110156,119765,17860.4,2539.9,2675.6,1386.8,46355,104.5,106.3,3858,2051,1807,75.2,72.09,78.71,0.43,0.53
云南省,1.8,97737,104282,203469,24555.7,3611.8,3674.5,2476.7,52047,104.0,105.7,4722,2363,2359,74.02,70.98,77.55,1.0,0.5
西藏自治区,0.15,2533,2871,7233,1902.7,150.3,154.4,99.9,52280,107.8,107.7,366,131,235,72.19,70.27,74.75,0.01,0.36
陕西省,0.9,55017,61675,175186,26014.1,2267.7,2381.8,1842.5,65867,102.1,103.3,3955,2478,1477,77.8,75.59,80.24,0.81,0.63
甘肃省,0.6,61979,66112,62709,8979.7,1188.1,1227.3,662.1,35848,103.8,105.3,2501,1306,1195,75.64,73.64,77.85,0.55,0.52
青海省,0.22,18304,18810,22228,3009.8,338.0,342.3,167.3,50845,101.5,104.6,593,356,237,73.96,71.72,76.43,0.01,0.6
宁夏回族自治区,0.22,18974,20259,35299,3956.3,338.1,356.3,194.3,55021,103.9,103.3,721,468,253,76.58,74.89,78.4,0.06,0.65
新疆维吾尔自治区,0.76,24392,31588,88141,13800.7,1981.3,2098.2,685.0,53606,103.4,104.3,2590,1464,1126,75.65,73.66,77.89,1.73,0.57
