,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
北京市,0.205882,0.074108,0.063323,0.288063,0.315992,0.002351,0.00184,0.273793,1.0,0.5,0.0,0.156462,0.211377,0.011887,0.994208,1.0,0.975296,0.011621,0.964286
天津市,0.077206,0.103279,0.089837,0.175078,0.122942,0.012326,0.011781,0.128298,0.54336,0.0,0.684685,0.089976,0.125339,0.0,0.879344,0.890748,0.854743,0.0,0.910714
河北省,0.404412,0.785282,0.749268,0.46517,0.324384,0.639404,0.636691,0.258051,0.115327,0.470588,0.783784,0.598711,0.47374,0.658526,0.53668,0.485236,0.570158,0.08685,0.410714
山西省,0.205882,0.867321,0.760794,0.244603,0.145463,0.128846,0.12981,0.111018,0.113375,0.5,0.693694,0.268063,0.229081,0.263886,0.552124,0.528543,0.565217,0.035474,0.464286
内蒙古自治区,0.147059,0.465024,0.449666,0.111623,0.150046,0.325928,0.312545,0.127189,0.299741,0.088235,0.72973,0.17673,0.17184,0.135941,0.51834,0.463583,0.563241,0.028135,0.571429
辽宁省,0.275735,0.265252,0.310821,0.261642,0.225294,0.379402,0.37709,0.198895,0.197237,0.117647,0.756757,0.336075,0.339903,0.234277,0.626448,0.560039,0.670949,0.018349,0.642857
吉林省,0.147059,0.165759,0.194191,0.062672,0.106014,0.208518,0.204536,0.065939,0.128767,0.264706,0.72973,0.184617,0.164287,0.169872,0.600386,0.526575,0.657115,0.066055,0.482143
黑龙江省,0.246324,0.411364,0.431679,0.108243,0.121418,0.604524,0.584407,0.085072,0.063361,0.382353,0.837838,0.25865,0.234628,0.229738,0.584942,0.498031,0.659091,0.117431,0.517857
上海市,0.205882,0.050931,0.043727,0.226768,0.34968,0.0,0.0,0.468386,0.974941,0.529412,0.36036,0.179528,0.245604,0.007997,1.0,0.996063,1.0,0.006116,1.0
江苏省,0.444853,0.432631,0.489801,1.0,0.936003,0.833224,0.839947,0.953466,0.682728,0.558824,0.468468,0.684701,0.683937,0.49276,0.688224,0.66437,0.699605,0.021407,0.660714
